,City,Country,Population (2024),Population (2023),Growth Rate
0,Tokyo,Japan,37115035,37194105,-0.0021
1,Delhi,India,33807403,32941309,0.0263
2,Shanghai,China,29867918,29210808,0.0225
3,Dhaka,Bangladesh,23935652,23209616,0.0313
4,Sao Paulo,Brazil,22806704,22619736,0.0083
5,Cairo,Egypt,22623874,22183201,0.0199
6,Mexico City,Mexico,22505315,22281442,0.01
7,Beijing,China,22189082,21766214,0.0194
8,Mumbai,India,21673149,21296517,0.0177
9,Osaka,Japan,18967459,19013434,-0.0024
10,Chongqing,China,17773923,17340704,0.025
11,Karachi,Pakistan,17648555,17236230,0.0239
12,Kinshasa,DR Congo,17032322,16315534,0.0439
13,Lagos,Nigeria,16536018,15945912,0.037
14,Istanbul,Turkey,16047350,15847768,0.0126
15,Buenos Aires,Argentina,15618288,15490415,0.0083
16,Kolkata,India,15570786,15332793,0.0155
17,Manila,Philippines,14941953,14667089,0.0187
18,Guangzhou,China,14590096,14284353,0.0214
19,Tianjin,China,14470873,14238643,0.0163
20,Lahore,Pakistan,14407074,13979390,0.0306
21,Bangalore,India,14008262,13607800,0.0294
22,Rio De Janeiro,Brazil,13824347,13727720,0.007
23,Shenzhen,China,13311855,13072633,0.0183
24,Moscow,Russia,12712305,12680389,0.0025
25,Chennai,India,12053697,11776147,0.0236
26,Bogota,Colombia,11658211,11507960,0.0131
27,Jakarta,Indonesia,11436004,11248839,0.0166
28,Lima,Peru,11361938,11204382,0.0141
29,Paris,France,11276701,11208440,0.0061
30,Bangkok,Thailand,11233869,11069982,0.0148
31,Hyderabad,India,11068877,10801163,0.0248
32,Seoul,South Korea,10004840,9988049,0.0017
33,Nanjing,China,9947548,9698464,0.0257
34,Chengdu,China,9828110,9653772,0.0181
35,London,United Kingdom,9748033,9648110,0.0104
36,Luanda,Angola,9651032,9292336,0.0386
37,Tehran,Iran,9616007,9499781,0.0122
38,Ho Chi Minh City,Vietnam,9567656,9320866,0.0265
39,Nagoya,Japan,9556879,9569328,-0.0013
40,Xi An Shaanxi,China,9013837,8785174,0.026
41,Ahmedabad,India,8854444,8650605,0.0236
42,Wuhan,China,8850850,8718250,0.0152
43,Kuala Lumpur,Malaysia,8815630,8621724,0.0225
44,Hangzhou,China,8419842,8237206,0.0222
45,Suzhou,China,8350625,8074031,0.0343
46,Surat,India,8330528,8064949,0.0329
47,Dar Es Salaam,Tanzania,8161231,7775865,0.0496
48,New York,United States,7931147,8133522,-0.0249
49,Baghdad,Iraq,7921134,7711305,0.0272
50,Shenyang,China,7830377,7680967,0.0195
51,Riyadh,Saudi Arabia,7820551,7682430,0.018
52,Hong Kong,Hong Kong,7725859,7684801,0.0053
53,Foshan,China,7704935,7597386,0.0142
54,Dongguan,China,7675146,7587049,0.0116
55,Pune,India,7345848,7166374,0.025
56,Santiago,Chile,6950952,6903392,0.0069
57,Haerbin,China,6938008,6803811,0.0197
58,Madrid,Spain,6783241,6751374,0.0047
59,Khartoum,Sudan,6542070,6344348,0.0312
60,Toronto,Canada,6431430,6371958,0.0093
61,Johannesburg,South Africa,6324351,6198016,0.0204
62,Belo Horizonte,Brazil,6300409,6247889,0.0084
63,Dalian,China,6217487,6077995,0.023
64,Singapore,Singapore,6119203,6080859,0.0063
65,Qingdao,China,6104597,5986525,0.0197
66,Zhengzhou,China,6014887,5859272,0.0266
67,Ji Nan Shandong,China,5940698,5806031,0.0232
68,Abidjan,Ivory Coast,5866704,5686350,0.0317
69,Barcelona,Spain,5711917,5687356,0.0043
70,Yangon,Myanmar,5709678,5610241,0.0177
71,Addis Ababa,Ethiopia,5703628,5460591,0.0445
72,Alexandria,Egypt,5696131,5588477,0.0193
73,Saint Petersburg,Russia,5581707,5561294,0.0037
74,Nairobi,Kenya,5541172,5325160,0.0406
75,Chittagong,Bangladesh,5513609,5379660,0.0249
76,Guadalajara,Mexico,5499678,5419880,0.0147
77,Fukuoka,Japan,5478076,5490271,-0.0022
78,Ankara,Turkey,5477087,5397098,0.0148
79,Hanoi,Vietnam,5431801,5253385,0.034
80,Melbourne,Australia,5315600,5235407,0.0153
81,Monterrey,Mexico,5195355,5116647,0.0154
82,Sydney,Australia,5184896,5120894,0.0125
83,Changsha,China,5027975,4921487,0.0216
84,Urumqi,China,5005964,4865038,0.029
85,Cape Town,South Africa,4977833,4890280,0.0179
86,Jiddah,Saudi Arabia,4943210,4862941,0.0165
87,Brasilia,Brazil,4935274,4873048,0.0128
88,Kunming,China,4861079,4761284,0.021
89,Changchun,China,4802447,4710382,0.0195
90,Kabul,Afghanistan,4728384,4588666,0.0304
91,Hefei,China,4727290,4615758,0.0242
92,Yaounde,Cameroon,4681768,4509287,0.0383
93,Ningbo,China,4659830,4537901,0.0269
94,Shantou,China,4656525,4573713,0.0181
95,New Taipei,Taiwan,4534877,4504147,0.0068
96,Tel Aviv,Israel,4495727,4420855,0.0169
97,Kano,Nigeria,4490734,4348481,0.0327
98,Shijiazhuang,China,4454132,4370473,0.0191
99,Montreal,Canada,4341638,4307958,0.0078
100,Rome,Italy,4331974,4315671,0.0038
101,Jaipur,India,4308510,4207084,0.0241
102,Recife,Brazil,4305127,4263940,0.0097
103,Nanning,China,4291463,4191890,0.0238
104,Fortaleza,Brazil,4246399,4206240,0.0095
105,Kozhikode,India,4243962,4088555,0.038
106,Porto Alegre,Brazil,4239867,4211933,0.0066
107,Taiyuan Shanxi,China,4226782,4145010,0.0197
108,Douala,Cameroon,4203108,4063200,0.0344
109,Ekurhuleni,South Africa,4190832,4118327,0.0176
110,Malappuram,India,4184921,4009087,0.0439
111,Medellin,Colombia,4137386,4102308,0.0086
112,Changzhou,China,4085502,3981658,0.0261
113,Kampala,Uganda,4050826,3846102,0.0532
114,Antananarivo,Madagascar,4048666,3872264,0.0456
115,Lucknow,India,4038214,3945409,0.0235
116,Abuja,Nigeria,4025735,3839646,0.0485
117,Nanchang,China,4016037,3920379,0.0244
118,Wenzhou,China,4009531,3919724,0.0229
119,Xiamen,China,4007468,3935484,0.0183
120,Ibadan,Nigeria,4004316,3874908,0.0334
121,Fuzhou Fujian,China,3998754,3922202,0.0195
122,Salvador,Brazil,3994982,3958384,0.0092
123,Casablanca,Morocco,3950408,3892837,0.0148
124,Tangshan Hebei,China,3925206,3814702,0.029
125,Kumasi,Ghana,3903481,3768239,0.0359
126,Curitiba,Brazil,3852459,3813082,0.0103
127,Bekasi,Indonesia,3830678,3729351,0.0272
128,Faisalabad,Pakistan,3800193,3710845,0.0241
129,Los Angeles,United States,3748640,3785439,-0.0097
130,Guiyang,China,3661446,3580904,0.0225
131,Port Harcourt,Nigeria,3636547,3480101,0.045
132,Thrissur,India,3605238,3482456,0.0353
133,Santo Domingo,Dominican Republic,3587402,3523890,0.018
134,Berlin,Germany,3576873,3573938,0.0008
135,Asuncion,Paraguay,3568830,3510511,0.0166
136,Dakar,Senegal,3540462,3429536,0.0323
137,Kochi,India,3507053,3406055,0.0297
138,Wuxi,China,3498740,3437346,0.0179
139,Busan,South Korea,3477419,3471949,0.0016
140,Campinas,Brazil,3458441,3422796,0.0104
141,Mashhad,Iran,3415532,3367852,0.0142
142,Sanaa,Yemen,3407814,3292497,0.035
143,Puebla,Mexico,3394342,3344761,0.0148
144,Indore,India,3393380,3302077,0.0277
145,Lanzhou,China,3365910,3297528,0.0207
146,Ouagadougou,Burkina Faso,3358934,3203923,0.0484
147,Kuwait City,Kuwait,3353602,3297759,0.0169
148,Lusaka,Zambia,3324219,3181250,0.0449
149,Kanpur,India,3286142,3234160,0.0161
150,Durban,South Africa,3262128,3228003,0.0106
151,Guayaquil,Ecuador,3193267,3142466,0.0162
152,Pyongyang,North Korea,3183135,3157538,0.0081
153,Milan,Italy,3160631,3154570,0.0019
154,Guatemala City,Guatemala,3159631,3095099,0.0208
155,Athens,Greece,3154591,3154463,0.0
156,Depok,Indonesia,3133298,3041229,0.0303
157,Izmir,Turkey,3120340,3088414,0.0103
158,Nagpur,India,3106340,3046687,0.0196
159,Surabaya,Indonesia,3088748,3044413,0.0146
160,Handan,China,3085998,3005409,0.0268
161,Coimbatore,India,3083721,3009047,0.0248
162,Huaian,China,3071048,2979893,0.0306
163,Port Au Prince,Haiti,3060169,2987455,0.0243
164,Zhongshan,China,3051065,3010685,0.0134
165,Dubai,United Arab Emirates,3051016,3007583,0.0144
166,Bamako,Mali,3050570,2929373,0.0414
167,Mbuji Mayi,DR Congo,3022855,2891746,0.0453
168,Kiev,Ukraine,3020228,3016789,0.0011
169,Lisbon,Portugal,3014607,3000536,0.0047
170,Weifang,China,2994537,2917819,0.0263
171,Caracas,Venezuela,2991727,2972145,0.0066
172,Thiruvananthapuram,India,2984154,2891119,0.0322
173,Algiers,Algeria,2952115,2901810,0.0173
174,Shizuoka,Japan,2935527,2937359,-0.0006
175,Lubumbashi,DR Congo,2933962,2811959,0.0434
176,Cali,Colombia,2890433,2863730,0.0093
177,Goiania,Brazil,2890418,2848473,0.0147
178,Pretoria,South Africa,2889899,2818100,0.0255
179,Shaoxing,China,2882171,2805654,0.0273
180,Incheon,South Korea,2861686,2848557,0.0046
181,Yantai,China,2834508,2764584,0.0253
182,Zibo,China,2828435,2780142,0.0174
183,Huizhou,China,2827610,2758593,0.025
184,Manchester,United Kingdom,2811756,2791005,0.0074
185,Taipei,Taiwan,2766334,2754196,0.0044
186,Mogadishu,Somalia,2726815,2610483,0.0446
187,Brazzaville,Republic of the Congo,2724566,2637733,0.0329
188,Accra,Ghana,2721165,2660072,0.023
189,Bandung,Indonesia,2714215,2674000,0.015
190,Damascus,Syria,2685361,2584771,0.0389
191,Birmingham,United Kingdom,2684807,2665100,0.0074
192,Vancouver,Canada,2682509,2657088,0.0096
193,Toluca De Lerdo,Mexico,2674336,2626368,0.0183
194,Luoyang,China,2666744,2602793,0.0246
195,Sapporo,Japan,2660947,2666112,-0.0019
196,Tashkent,Uzbekistan,2633661,2603243,0.0117
197,Patna,India,2633243,2579762,0.0207
198,Bhopal,India,2624865,2564502,0.0235
199,Chicago,United States,2590002,2627520,-0.0143
200,Tangerang,Indonesia,2570980,2514077,0.0226
201,Nantong,China,2555722,2492230,0.0255
202,Brisbane,Australia,2536449,2504505,0.0128
203,Tunis,Tunisia,2510673,2475446,0.0142
204,Peshawar,Pakistan,2480546,2411785,0.0285
205,Medan,Indonesia,2479070,2439054,0.0164
206,Gujranwala,Pakistan,2479058,2415416,0.0263
207,Baku,Azerbaijan,2464162,2432304,0.0131
208,Hohhot,China,2443686,2380636,0.0265
209,San Juan,Puerto Rico,2436620,2439564,-0.0012
210,Belem,Brazil,2432177,2409409,0.0094
211,Rawalpindi,Pakistan,2430388,2377325,0.0223
212,Agra,India,2422342,2367554,0.0231
213,Manaus,Brazil,2406854,2375636,0.0131
214,Kannur,India,2405664,2346137,0.0254
215,Beirut,Lebanon,2402485,2421354,-0.0078
216,Maracaibo,Venezuela,2400826,2367626,0.014
217,Liuzhou,China,2397410,2343452,0.023
218,Visakhapatnam,India,2385110,2330928,0.0232
219,Baotou,China,2381242,2334878,0.0199
220,Vadodara,India,2373365,2324084,0.0212
221,Barranquilla,Colombia,2373302,2349400,0.0102
222,Phnom Penh,Cambodia,2352680,2281198,0.0313
223,Sendai,Japan,2341433,2342302,-0.0004
224,Taoyuan,Taiwan,2338724,2318850,0.0086
225,Xuzhou,China,2332531,2287166,0.0198
226,Aleppo,Syria,2317650,2203025,0.052
227,Houston,United States,2305889,2304383,0.0007
228,Tijuana,Mexico,2297216,2259787,0.0166
229,Esfahan,Iran,2294589,2258396,0.016
230,Nashik,India,2294299,2237369,0.0254
231,Vijayawada,India,2290785,2229765,0.0274
232,Amman,Jordan,2252688,2232240,0.0092
233,Putian,China,2250104,2176022,0.034
234,Multan,Pakistan,2205407,2154600,0.0236
235,Grande Vitoria,Brazil,2196818,2170513,0.0121
236,Wuhu Anhui,China,2195262,2124797,0.0332
237,Mecca,Saudi Arabia,2184560,2149928,0.0161
238,Kollam,India,2181940,2106606,0.0358
239,Naples,Italy,2180027,2179384,0.0003
240,Daegu,South Korea,2179929,2180997,-0.0005
241,Conakry,Guinea,2178596,2110937,0.0321
242,Yangzhou,China,2175102,2131291,0.0206
243,Havana,Cuba,2152518,2148930,0.0017
244,Taizhou Zhejiang,China,2152226,2102143,0.0238
245,Baoding,China,2149703,2107539,0.02
246,Perth,Australia,2143491,2117997,0.012
247,Brussels,Belgium,2132178,2121992,0.0048
248,Linyi Shandong,China,2120049,2076364,0.021
249,Bursa,Turkey,2115513,2086324,0.014
250,Rajkot,India,2096981,2043107,0.0264
251,Minsk,Belarus,2064733,2057257,0.0036
252,Hiroshima,Japan,2062884,2067591,-0.0023
253,Haikou,China,2056646,2016092,0.0201
254,Daqing,China,2044371,2000656,0.0219
255,Lome,Togo,2042734,1981615,0.0308
256,Lianyungang,China,2035631,1986439,0.0248
257,Yancheng Jiangsu,China,2034326,1993463,0.0205
258,Panama City,Panama,2015735,1976866,0.0197
259,Almaty,Kazakhstan,2015209,1987301,0.014
260,Semarang,Indonesia,2013571,1975306,0.0194
261,Hyderabad,Pakistan,2011964,1967684,0.0225
262,Valencia,Venezuela,2007265,1983445,0.012
263,Davao City,Philippines,1991457,1949400,0.0216
264,Vienna,Austria,1990487,1975271,0.0077
265,Rabat,Morocco,1989197,1959388,0.0152
266,Ludhiana,India,1988438,1951085,0.0191
267,Quito,Ecuador,1986667,1956995,0.0152
268,Benin City,Nigeria,1972558,1904631,0.0357
269,La Paz,Bolivia,1965570,1935619,0.0155
270,Baixada Santista,Brazil,1965110,1947785,0.0089
271,West Yorkshire,United Kingdom,1942470,1928661,0.0072
272,Can Tho,Vietnam,1938915,1865172,0.0395
273,Zhuhai,China,1930373,1889829,0.0215
274,Leon De Los Aldamas,Mexico,1924435,1898749,0.0135
275,Quanzhou,China,1920733,1869994,0.0271
276,Matola,Mozambique,1915035,1852405,0.0338
277,Datong,China,1913674,1873693,0.0213
278,Sharjah,United Arab Emirates,1872199,1830858,0.0226
279,Madurai,India,1871912,1834279,0.0205
280,Raipur,India,1871107,1816813,0.0299
281,Adana,Turkey,1856638,1835895,0.0113
282,Santa Cruz,Bolivia,1855732,1820114,0.0196
283,Palembang,Indonesia,1852673,1818421,0.0188
284,Mosul,Iraq,1847691,1792020,0.0311
285,Cixi,China,1840039,1788871,0.0286
